corrida_id,grupo_calibracion_id,ejecucion,id_prueba,lote,fecha,material,espesor_mm,operacion,velocidad_mm_min,potencia_pct,pasadas,x_mm,y_mm,tamano_celda_mm,area_material_mm2,tiempo_estimado_celda_s,corte_pasante,carbonizacion_1a5,kwh_corrida_medido,tiempo_real_corrida_s,foto,notas
MDF-Comercial_3mm_corte_2026-09-03_L08,,,C-001,L08,2026-09-03,MDF Comercial,3.0,corte,320,100,2,0.0,0.0,15.0,225.0,27.15,no,3,0.01,93,,
MDF-Comercial_3mm_corte_2026-09-03_L08,,,C-002,L08,2026-09-03,MDF Comercial,3.0,corte,350,100,2,18.5,0.0,15.0,225.0,24.82,no,3,0.01,93,,
