corrida_id,grupo_calibracion_id,ejecucion,id_prueba,lote,fecha,material,espesor_mm,operacion,velocidad_mm_min,potencia_pct,pasadas,x_mm,y_mm,tamano_celda_mm,area_material_mm2,tiempo_estimado_celda_s
MDF-Trupan_3mm_corte_2026-09-03_L07,,,C-001,L07,2026-09-03,MDF Trupan,3.0,corte,350,100,2,0.0,0.0,15.0,225.0,24.82
MDF-Trupan_3mm_corte_2026-09-03_L07,,,C-002,L07,2026-09-03,MDF Trupan,3.0,corte,400,100,2,18.5,0.0,15.0,225.0,21.72
MDF-Trupan_3mm_corte_2026-09-03_L07,,,C-003,L07,2026-09-03,MDF Trupan,3.0,corte,450,100,2,37.0,0.0,15.0,225.0,19.31
