corrida_id,grupo_calibracion_id,ejecucion,id_prueba,lote,fecha,material,espesor_mm,operacion,velocidad_mm_min,potencia_pct,pasadas,x_mm,y_mm,tamano_celda_mm,area_material_mm2,tiempo_estimado_celda_s
MDF-Comercial_3mm_corte_2026-09-04_L14,,,C-001,L14,2026-09-04,MDF Comercial,3.0,corte,360,100,3,0.0,0.0,10.0,100.0,24.13
MDF-Comercial_3mm_corte_2026-09-04_L14,,,C-002,L14,2026-09-04,MDF Comercial,3.0,corte,400,100,3,13.5,0.0,10.0,100.0,21.72
MDF-Comercial_3mm_corte_2026-09-04_L14,,,C-003,L14,2026-09-04,MDF Comercial,3.0,corte,420,100,3,27.0,0.0,10.0,100.0,20.69
