corrida_id,grupo_calibracion_id,ejecucion,id_prueba,lote,fecha,material,espesor_mm,operacion,velocidad_mm_min,potencia_pct,pasadas,x_mm,y_mm,tamano_celda_mm,area_material_mm2,tiempo_estimado_celda_s
MDF-Comercial_3mm_corte_2026-09-03_L12,,,C-001,L12,2026-09-03,MDF Comercial,3.0,corte,230,100,3,0.0,0.0,15.0,225.0,56.66
MDF-Comercial_3mm_corte_2026-09-03_L12,,,C-002,L12,2026-09-03,MDF Comercial,3.0,corte,240,100,3,18.5,0.0,15.0,225.0,54.3
MDF-Comercial_3mm_corte_2026-09-03_L12,,,C-003,L12,2026-09-03,MDF Comercial,3.0,corte,250,100,3,37.0,0.0,15.0,225.0,52.13
