corrida_id,grupo_calibracion_id,ejecucion,id_prueba,lote,fecha,material,espesor_mm,operacion,velocidad_mm_min,potencia_pct,pasadas,x_mm,y_mm,tamano_celda_mm,area_material_mm2,tiempo_estimado_celda_s,corte_pasante,carbonizacion_1a5,kwh_corrida_medido,tiempo_real_corrida_s,foto,notas
MDF-Comercial_3mm_corte_2026-09-03_L10,,,C-001,L10,2026-09-03,MDF Comercial,3.0,corte,240,100,2,0.0,0.0,15.0,225.0,36.2,no,2,0.01,166,,
MDF-Comercial_3mm_corte_2026-09-03_L10,,,C-002,L10,2026-09-03,MDF Comercial,3.0,corte,250,100,2,18.5,0.0,15.0,225.0,34.75,no,2,0.01,166,,
MDF-Comercial_3mm_corte_2026-09-03_L10,,,C-003,L10,2026-09-03,MDF Comercial,3.0,corte,260,100,2,37.0,0.0,15.0,225.0,33.42,no,2,0.01,166,,
