corrida_id,grupo_calibracion_id,ejecucion,id_prueba,lote,fecha,material,espesor_mm,operacion,velocidad_mm_min,potencia_pct,pasadas,x_mm,y_mm,tamano_celda_mm,area_material_mm2,tiempo_estimado_celda_s
MDF-Comercial_3mm_grabado_2026-09-04_L05,,,G-001,L05,2026-09-04,MDF Comercial,3.0,grabado,2000,3,1,5.0,0.0,4.5,0.0,7.7
MDF-Comercial_3mm_grabado_2026-09-04_L05,,,G-002,L05,2026-09-04,MDF Comercial,3.0,grabado,2000,10,1,5.0,7.5,4.5,0.0,7.7
MDF-Comercial_3mm_grabado_2026-09-04_L05,,,G-003,L05,2026-09-04,MDF Comercial,3.0,grabado,2000,20,1,5.0,15.0,4.5,0.0,7.7
MDF-Comercial_3mm_grabado_2026-09-04_L05,,,G-004,L05,2026-09-04,MDF Comercial,3.0,grabado,2000,35,1,5.0,22.5,4.5,0.0,7.7
