corrida_id,grupo_calibracion_id,ejecucion,id_prueba,lote,fecha,material,espesor_mm,operacion,velocidad_mm_min,potencia_pct,pasadas,x_mm,y_mm,tamano_celda_mm,area_material_mm2,tiempo_estimado_celda_s
MDF-Trupan_3mm_corte_2026-09-03_L02,,,C-001,L02,2026-09-03,MDF Trupan,3.0,corte,80,85,3,0.0,0.0,15.0,225.0,162.9
MDF-Trupan_3mm_corte_2026-09-03_L02,,,C-002,L02,2026-09-03,MDF Trupan,3.0,corte,100,85,3,18.5,0.0,15.0,225.0,130.32
MDF-Trupan_3mm_corte_2026-09-03_L02,,,C-003,L02,2026-09-03,MDF Trupan,3.0,corte,100,100,3,18.5,18.5,15.0,225.0,130.32
MDF-Trupan_3mm_corte_2026-09-03_L02,,,C-004,L02,2026-09-03,MDF Trupan,3.0,corte,80,100,3,0.0,18.5,15.0,225.0,162.9
