corrida_id,grupo_calibracion_id,ejecucion,id_prueba,lote,fecha,material,espesor_mm,operacion,velocidad_mm_min,potencia_pct,pasadas,x_mm,y_mm,tamano_celda_mm,area_material_mm2,tiempo_estimado_celda_s,corte_pasante,carbonizacion_1a5,kwh_corrida_medido,tiempo_real_corrida_s,foto,notas
MDF-Comercial_3mm_corte_2026-09-04_L13,,,C-001,L13,2026-09-04,MDF Comercial,3.0,corte,270,100,3,0.0,0.0,10.0,100.0,32.18,si,3,0.01,155,,
MDF-Comercial_3mm_corte_2026-09-04_L13,,,C-002,L13,2026-09-04,MDF Comercial,3.0,corte,300,100,3,13.5,0.0,10.0,100.0,28.96,si,3,0.01,155,,
MDF-Comercial_3mm_corte_2026-09-04_L13,,,C-003,L13,2026-09-04,MDF Comercial,3.0,corte,320,100,3,27.0,0.0,10.0,100.0,27.15,si,3,0.01,155,,
