corrida_id,grupo_calibracion_id,ejecucion,id_prueba,lote,fecha,material,espesor_mm,operacion,velocidad_mm_min,potencia_pct,pasadas,x_mm,y_mm,tamano_celda_mm,area_material_mm2,tiempo_estimado_celda_s,corte_pasante,carbonizacion_1a5,kwh_corrida_medido,tiempo_real_corrida_s,foto,notas
MDF-Trupan_3mm_grabado_2026-09-04_L04,,,G-001,L04,2026-09-04,MDF Trupan,3.0,grabado,2000,3,1,0.0,0.0,4.5,0.0,7.7,no,1,0.01,244,,
MDF-Trupan_3mm_grabado_2026-09-04_L04,,,G-002,L04,2026-09-04,MDF Trupan,3.0,grabado,2000,10,1,0.0,7.5,4.5,0.0,7.7,no,1,0.01,244,,
MDF-Trupan_3mm_grabado_2026-09-04_L04,,,G-003,L04,2026-09-04,MDF Trupan,3.0,grabado,2000,20,1,0.0,15.0,4.5,0.0,7.7,no,2,0.01,244,,
MDF-Trupan_3mm_grabado_2026-09-04_L04,,,G-004,L04,2026-09-04,MDF Trupan,3.0,grabado,2000,35,1,0.0,22.5,4.5,0.0,7.7,no,3,0.01,244,,
