corrida_id,grupo_calibracion_id,ejecucion,id_prueba,lote,fecha,material,espesor_mm,operacion,velocidad_mm_min,potencia_pct,pasadas,x_mm,y_mm,tamano_celda_mm,area_material_mm2,tiempo_estimado_celda_s
MDF-Trupan_7mm_grabado_2026-09-03_L01,,,G-001,L01,2026-09-03,MDF Trupan,7.0,grabado,800,15,1,0.0,0.0,30.0,0.0,115.06
MDF-Trupan_7mm_grabado_2026-09-03_L01,,,G-002,L01,2026-09-03,MDF Trupan,7.0,grabado,1000,15,1,38.0,0.0,30.0,0.0,92.05
MDF-Trupan_7mm_grabado_2026-09-03_L01,,,G-003,L01,2026-09-03,MDF Trupan,7.0,grabado,1200,15,1,76.0,0.0,30.0,0.0,76.71
MDF-Trupan_7mm_grabado_2026-09-03_L01,,,G-004,L01,2026-09-03,MDF Trupan,7.0,grabado,1500,15,1,114.0,0.0,30.0,0.0,61.36
MDF-Trupan_7mm_grabado_2026-09-03_L01,,,G-005,L01,2026-09-03,MDF Trupan,7.0,grabado,1500,20,1,114.0,38.0,30.0,0.0,61.36
MDF-Trupan_7mm_grabado_2026-09-03_L01,,,G-006,L01,2026-09-03,MDF Trupan,7.0,grabado,1200,20,1,76.0,38.0,30.0,0.0,76.71
MDF-Trupan_7mm_grabado_2026-09-03_L01,,,G-007,L01,2026-09-03,MDF Trupan,7.0,grabado,1000,20,1,38.0,38.0,30.0,0.0,92.05
MDF-Trupan_7mm_grabado_2026-09-03_L01,,,G-008,L01,2026-09-03,MDF Trupan,7.0,grabado,800,20,1,0.0,38.0,30.0,0.0,115.06
MDF-Trupan_7mm_grabado_2026-09-03_L01,,,G-009,L01,2026-09-03,MDF Trupan,7.0,grabado,800,25,1,0.0,76.0,30.0,0.0,115.06
MDF-Trupan_7mm_grabado_2026-09-03_L01,,,G-010,L01,2026-09-03,MDF Trupan,7.0,grabado,1000,25,1,38.0,76.0,30.0,0.0,92.05
MDF-Trupan_7mm_grabado_2026-09-03_L01,,,G-011,L01,2026-09-03,MDF Trupan,7.0,grabado,1200,25,1,76.0,76.0,30.0,0.0,76.71
MDF-Trupan_7mm_grabado_2026-09-03_L01,,,G-012,L01,2026-09-03,MDF Trupan,7.0,grabado,1500,25,1,114.0,76.0,30.0,0.0,61.36
MDF-Trupan_7mm_grabado_2026-09-03_L01,,,G-013,L01,2026-09-03,MDF Trupan,7.0,grabado,1500,30,1,114.0,114.0,30.0,0.0,61.36
MDF-Trupan_7mm_grabado_2026-09-03_L01,,,G-014,L01,2026-09-03,MDF Trupan,7.0,grabado,1200,30,1,76.0,114.0,30.0,0.0,76.71
MDF-Trupan_7mm_grabado_2026-09-03_L01,,,G-015,L01,2026-09-03,MDF Trupan,7.0,grabado,1000,30,1,38.0,114.0,30.0,0.0,92.05
MDF-Trupan_7mm_grabado_2026-09-03_L01,,,G-016,L01,2026-09-03,MDF Trupan,7.0,grabado,800,30,1,0.0,114.0,30.0,0.0,115.06
